Date,Category,RefNo,Date,Withdrawal,Deposit,Balance
2023-03-03,Misc,3.43E+11,2023-03-03,240,0,10815.89
2023-03-03,Food,3.43E+11,2023-03-03,60,0,10755.89
2023-03-03,Rent,3.06E+11,2023-03-03,6490,0,4265.89
2023-03-03,Food,3.06E+11,2023-03-03,35,0,4230.89
2023-03-04,Misc,3.06E+11,2023-03-04,105,0,4125.89
2023-03-04,Food,3.06E+11,2023-03-04,10,0,4115.89
2023-03-04,Food,3.43E+11,2023-03-04,30,0,4085.89
2023-03-04,Food,3.43E+11,2023-03-04,25,0,4060.89
2023-03-04,Misc,3.06E+11,2023-03-04,200,0,3860.89
2023-03-04,Misc,3.43E+11,2023-03-04,420,0,3440.89
2023-03-04,Food,3.43E+11,2023-03-04,40,0,3400.89
2023-03-05,Food,3.06E+11,2023-03-05,30,0,3370.89
2023-03-05,Food,3.43E+11,2023-03-05,100,0,3270.89
2023-03-05,Misc,3.06E+11,2023-03-05,300,0,2970.89
2023-03-05,Food,3.06E+11,2023-03-05,40,0,2930.89
2023-03-05,Misc,3.06E+11,2023-03-05,500,0,2430.89
2023-03-05,Food,3.06E+11,2023-03-05,20,0,2410.89
2023-03-06,Misc,3.43E+11,2023-03-06,0,131,2541.89
2023-03-06,Food,3.43E+11,2023-03-06,50,0,2491.89
2023-03-06,Food,3.07E+11,2023-03-06,37,0,2454.89
2023-03-06,Food,3.43E+11,2023-03-06,40,0,2414.89
2023-03-07,Food,3.43E+11,2023-03-07,72,0,2342.89
2023-03-07,Food,3.43E+11,2023-03-07,50,0,2292.89
2023-03-07,Food,3.07E+11,2023-03-07,25,0,2267.89
2023-03-07,Food,3.43E+11,2023-03-07,35,0,2232.89
2023-03-08,Misc,3.07E+11,2023-03-08,7,0,2225.89
2023-03-08,Food,3.07E+11,2023-03-08,30,0,2195.89
2023-03-08,Food,3.07E+11,2023-03-08,75,0,2120.89
2023-03-08,Misc,3.07E+11,2023-03-08,150.5,0,1970.39
2023-03-08,Food,3.07E+11,2023-03-08,40,0,1930.39
2023-03-09,Food,3.07E+11,2023-03-09,99,0,1831.39
2023-03-09,Food,3.07E+11,2023-03-09,34,0,1797.39
2023-03-09,Misc,3.43E+11,2023-03-09,205,0,1592.39
2023-03-09,Food,3.43E+11,2023-03-09,60,0,1532.39
2023-03-09,Food,3.07E+11,2023-03-09,79,0,1453.39
